,Visitor,Browser
290,2803037633755539657,Chrome
291,388522732442868493,Chrome
292,975724513021047353,Chrome
293,7003199596626656920,Chrome
294,3179639055690519632,Safari
295,1415334905371212848,Chrome
296,9879976446716457789,Chrome
297,9210193289313557479,Chrome
298,645901153671541537,Chrome
299,8004767510725447834,Chrome
300,4943151950332750972,Chrome
301,6851197207258186326,Chrome
302,3221001347394359411,Chrome
303,5103371518188400286,Chrome
304,71236112316845771,Safari
305,5272986439949825428,Edge
306,5778396013963404844,Chrome
307,90149257532691093,Safari
308,8254743016471320810,Chrome
309,9685837085720661494,Safari
310,9164855153723937819,Chrome
311,8482655162064107482,Safari
312,7448725203839973833,Chrome
313,8433708181467551628,Chrome
314,6288536594894928447,Firefox
315,448292108026961569,Chrome
316,647166843058663040,Edge
317,4924300805584983552,Safari
318,1774520696990623766,Chrome
319,9608800408625517246,Chrome
320,471074579963301990,Chrome
321,7695667986746113164,Chrome
322,9600961002049881569,Chrome
323,7380938948541840733,Chrome
324,1520848757238214460,Chrome
325,7804282460194971042,Chrome
326,9475264449408061924,Chrome
327,6122843084458095462,Chrome
328,7240934502513930021,Chrome
329,9444984869248878968,Chrome
330,2847422332015389828,Chrome
331,785772009651809240,Chrome
332,8362796652977834494,Chrome
333,4707685222159230225,Chrome
334,1653941979742472322,Chrome
335,3621581279405155686,Chrome
336,6343169626938214495,Chrome
337,8119766314405693059,Chrome
338,3368252230850825313,Chrome
339,5995932530570745744,Chrome
340,908027038089558139,Chrome
341,2000527840932027488,Chrome
342,8613327733509673585,Edge
343,487562064002000600,Safari
344,5078887423725246595,Chrome
345,6115158059505061056,Safari
346,2681184143309917165,Chrome
347,6394061187940064870,Chrome
348,282320402965673537,Firefox
349,1698102571545199678,Chrome
350,7131413845176413352,Chrome
351,1520848757238214460,Chrome
352,580041364244034812,Chrome
353,7840424520897700690,Chrome
354,3799074655846228545,Chrome
355,302976359668956155,Chrome
356,4290775267156663185,Chrome
357,2110034997328961149,Chrome
358,4927574031144324120,Chrome
359,6507835770641203740,Edge
360,1297345076005327659,Chrome
361,3395977967020079312,Firefox
362,6881040789980553525,Chrome
363,1155738973084054793,Chrome
364,9505293929345331439,Chrome
365,8779210943404137477,Chrome
366,562190261755551721,Chrome
367,2997973652356531852,Chrome
368,5447749135003509761,Chrome
369,5872013937601534051,Chrome
370,5930112135174302154,Chrome
371,524553173826275322,Chrome
372,286417492924569937,Chrome
373,46145930192412492,Safari
374,3561910173744871133,Chrome
375,4691865604542705370,Safari
376,453235812971946809,Chrome
377,699648481320295572,Chrome
378,8932585195921692139,Chrome
379,4888576727732904660,Chrome
380,9123245399083127276,Safari
381,1452576099640007317,Safari
382,8157323890266977247,Internet Explorer
383,2751018442864807307,Internet Explorer
384,9799099374996169118,Safari
385,1440384267735419357,Chrome
386,7959485879248599992,Chrome
387,515497392691292704,Chrome
388,7777326819519707726,Chrome
389,1573357187325281677,Firefox
390,9832420609541211109,Chrome
391,415144036234155583,Chrome
392,7827674585557898037,Firefox
393,6839951391778436276,Chrome
394,9324218529416847774,Safari
395,435488963485941343,Chrome
396,7933957334836625072,Chrome
397,45364138664046513,Firefox
398,2624733639023617244,Chrome
399,1903946757107595750,Chrome
400,5472104949289814996,Chrome
401,4976005219264954539,Safari (in-app)
402,576067446287915128,Firefox
403,3954180067776761712,Chrome
404,3685729791283024026,Chrome
405,2844894572243509771,Chrome
406,7125468302157814571,Chrome
407,6174140156874688926,Safari
408,2423092335351206694,Chrome
409,648635975762054525,Chrome
410,5824904329679863763,Safari
411,5930320841004442842,Safari
412,7233455303417644904,Chrome
413,3079588522637245192,Safari
414,931906864616058642,Chrome
415,6778300814189995684,Chrome
416,1192203682003576212,Chrome
417,7568465462805322360,Chrome
418,7682398664020584556,Chrome
419,6727784446567497629,Chrome
420,1581040998671743476,Internet Explorer
421,550953510787874461,Chrome
422,5472104949289814996,Chrome
423,7643360478662754446,Safari
424,8522422976158921870,Chrome
425,8056636414055804076,Chrome
426,8187560230085164563,Chrome
427,2439083675779564415,Chrome
428,2768542587177164609,Chrome
429,8603459137658505098,Chrome
430,9450484152885657401,Edge
431,3395977967020079312,Firefox
432,7962731916677636005,Chrome
433,5090872727444061790,Chrome
434,5641096067405144721,Chrome
435,2082625651279391786,Chrome
436,9538778820434741432,Firefox
437,723355503814005566,Chrome
438,6366440675526750913,Safari
439,4730659942529549616,Firefox
440,5930320841004442842,Safari
441,8732851930858933154,Chrome
442,2280460896902787523,Chrome
443,9333134784158737286,Chrome
444,3269834865385146569,Chrome
445,198028052620194131,Chrome
446,332027557866490026,Chrome
447,2228165993043324655,Chrome
448,3608475193341679870,Chrome
449,3608475193341679870,Chrome
450,8128000746946979261,Chrome
451,9990635713056488930,Safari
452,2066471366187058621,Safari
453,8482213100195574299,Safari
454,7731876626616646233,Chrome
455,7076947884095286872,Safari
456,9912048945373189888,Chrome
457,1579444448546340211,Safari
458,2281512944497722285,Safari
459,2246591719815667869,Chrome
460,1513972423387111118,Safari
461,3973883320620436496,Chrome
462,3802117750062507533,Chrome
463,749236341103723643,Chrome
464,7076947884095286872,Safari
465,3837461213400626830,Chrome
466,8205269849536680674,Chrome
467,3111088785117643818,Chrome
468,9608517383151437670,Chrome
469,7874786896274267185,Firefox
470,8062588677955641614,Chrome
471,9006598545621572007,Chrome
472,936319838339256009,Safari
473,9784864929587857008,UC Browser
474,2565861633132354619,Chrome
475,9931301295470484835,Safari
476,189380464609139072,Edge
477,7140964815219763,Safari
478,5062927176360964037,Chrome
479,7449885745368916628,Safari
480,5062927176360964037,Chrome
481,8766727216466451625,Safari
482,1287469461185282003,Chrome
483,8347293108136969989,Chrome
484,2961601822599122113,Chrome
485,1660270471863139178,Chrome
486,7021659763502389824,Chrome
487,779479423145220193,Chrome
488,2414509650411132475,Chrome
489,7063887245257837307,Chrome
490,3133344983418496908,Chrome
491,8479512947765575803,Chrome
492,585888147479880238,Chrome
493,7765839943759114455,Edge
494,351031930776013,Chrome
495,2713709900290725314,Chrome
496,6369522490335474238,Internet Explorer
497,3309157979038358829,Chrome
498,202322886332317705,Firefox
499,8461110695299432015,Chrome
500,5694729434362978475,Chrome
501,679554480895243149,Opera
502,7794374171985826361,Safari
503,4444620154536633482,Chrome
504,3600578174003704209,Chrome
505,3896670320467861728,Chrome
506,5756251042233001390,Firefox
507,5758802492392112337,Chrome
508,799829710229797804,Safari
509,9247751277358292039,Chrome
510,4932495043247360239,Chrome
511,9020051463404294041,Chrome
512,7235230644945869475,Chrome
513,6692852264247918791,Chrome
514,8802124263911461875,Chrome
515,8518813185924627670,Chrome
516,1682938124722514673,Chrome
517,209264296684700934,Firefox
518,505095023941645396,Safari
519,394270643281530573,Chrome
520,5834336662391120585,Chrome
521,569142482387435554,Internet Explorer
522,7979911344256898611,Safari
523,819643690762204764,Chrome
524,300649098445807045,Safari
525,2257123881167474350,Chrome
526,4326688815215885369,Chrome
527,3204733775085565027,Chrome
528,974766672652198788,Chrome
529,8865659201557915413,Chrome
530,1710673738870158110,Chrome
531,282198161197661593,Edge
532,2241251209767821395,Chrome
533,4438821439461605883,Chrome
534,6591005754091511082,Chrome
535,394296020958271301,Chrome
536,570519133714549546,Chrome
537,2348716715159638311,Chrome
538,1915164313056185392,Safari
539,3478057435183666163,Safari
540,6701099788813864251,Chrome
541,9073077699982594791,Safari
542,6402156144486469016,Safari
543,2263285914425484077,Edge
544,9534721912747527565,Chrome
545,5057553963967350183,Chrome
546,1514409946828300586,Chrome
547,6087941198769667500,Safari
548,322635820042596475,Chrome
549,4872600091887810990,Safari
550,9431776942300329343,Firefox
551,3152832580551288033,Safari
552,6232444972489486799,Safari
553,70119475658828806,Chrome
554,4932381202653178215,Chrome
555,4932381202653178215,Chrome
556,2593919166479986422,Safari
557,180619161805092236,Chrome
558,180619161805092236,Chrome
559,442558867102895868,Chrome
560,1723981563106392466,Chrome
561,1136101784851501233,Internet Explorer
562,6404197951154219181,Internet Explorer
563,5764258292895068258,Chrome
564,6154894705293176599,Safari
565,707520971067932457,Chrome
566,4334217686784170617,UC Browser
567,9843988508962478243,Opera Mini
568,5036481198358568449,Chrome
569,271519328187668915,Chrome
570,1721441519260486839,Chrome
571,2411947997757334861,Chrome
572,5751745162373676262,Safari
573,2520149313320036222,Chrome
574,3715216643913804796,Opera Mini
575,5969633539221069285,Safari
576,4966256424916249466,Chrome
577,306078392863389040,Chrome
578,9959005758380168907,Chrome
579,1384436029717861813,Chrome
580,5274379744249886659,Chrome
581,5936211606747775941,Safari
582,3532986209162841972,Chrome
583,1850719026066660585,Chrome
584,8850154764552827440,Safari
585,2344826778912311374,Chrome
586,226656669653722447,Safari
587,2098892653628229192,Chrome
588,1341571752383298337,Chrome
589,5751745162373676262,Safari
590,8576939472200336958,Chrome
591,2819217675834686965,Chrome
592,5259384150015654731,Safari
593,763734704500566511,Chrome
594,8999530054114842174,Chrome
595,6684346096907565222,Firefox
596,60350120326799892,Chrome
597,5709577004709620437,Chrome
598,23354767163376611,Chrome
599,9619067977572326416,UC Browser
600,3501384521462698827,Chrome
601,8976715590821745833,Safari
602,769337097797908,Firefox
603,766385854923709641,Chrome
604,67985134463636772,Safari
605,6526142319190333313,Chrome
606,2427421385975133286,Chrome
607,1810103526484635436,Chrome
608,3349911502311036432,Safari
609,4169445194784390406,Edge
610,5476219509348846248,Chrome
611,500543255157422918,Chrome
612,757740369821519232,Chrome
613,593941257053005882,Firefox
614,20058980841875393,Edge
615,742064651767224473,Chrome
616,465795534733650129,Safari
617,2737176962931841660,Chrome
618,9468469654714113343,Chrome
619,854499502455926939,Chrome
620,3673545136646875348,Safari
621,6040377209075422147,Chrome
622,4334217686784170617,UC Browser
623,8525829455603694748,Chrome
624,765257858566368572,Chrome
625,6871687701514060568,Chrome
626,3711296242014666488,Chrome
627,8663860026743457749,Chrome
628,8750990580171457680,Chrome
629,2030942480963629807,Safari
630,2902410159416233797,Safari
631,5372356878361527686,Chrome
632,148224414050743803,Chrome
633,9511886774298360628,Safari
634,584275027621788074,Chrome
635,5496310033992591959,Chrome
636,5001610534094668825,Chrome
637,5828000328362224748,Chrome
638,8449648902710898519,Chrome
639,9200180943319078810,Chrome
640,583892063756052718,Chrome
641,3511234297019660292,Safari
642,638361389064676510,Safari
643,226656669653722447,Safari
644,7903916406597472564,Chrome
645,5951986840816392363,Chrome
646,62958249431997948,Chrome
647,5274379744249886659,Chrome
648,5803621328708045319,Chrome
649,6429487535045860853,Chrome
650,7134955083034999879,Chrome
651,4154124445422020207,Chrome
652,1520848757238214460,Chrome
653,9737143065869310557,Chrome
654,56746998029721050,Chrome
655,56746998029721050,Chrome
656,714060488482384624,Chrome
657,7352773444187031627,Safari
658,181790016466822646,Safari
659,9243821490699547148,Chrome
660,6651087220529552909,Chrome
661,9092982112304430205,Firefox
662,7068330893617922215,Chrome
663,278477699722183984,Safari
664,666951297003081407,Chrome
665,4575517383897432864,Safari
666,318874395048706773,Safari
667,5779166637603416263,Opera
668,5779166637603416263,Opera
669,5766933612004348878,Chrome
670,8974849272879880548,Chrome
671,865179580162723482,Chrome
672,865179580162723482,Chrome
673,865179580162723482,Chrome
674,4724259822631281911,Chrome
675,7844248325753490068,Chrome
676,3189988952686623481,Safari
677,5043672088876119255,Chrome
678,1400347056249281852,Chrome
679,2693505639322695346,Chrome
680,5122737231559299523,Chrome
681,4704505294553365126,Safari
682,9299404177195210993,Chrome
683,6800878922631850401,Chrome
684,3701556338243968981,Chrome
685,2677653854158419207,Chrome
686,5347459918430741723,Chrome
687,4472786921142933034,Chrome
688,5604208768055725517,Chrome
689,6768561293697729402,Chrome
690,8339220350582737727,Chrome
691,5968340751651477476,Chrome
692,894979312373216262,Chrome
693,1101658174807517019,Chrome
694,1057738716980175484,Chrome
695,1101658174807517019,Chrome
696,2657621055088230340,Safari
697,6254908847172458133,Chrome
698,816355919454560926,Firefox
699,3284818553416532763,Chrome
700,4501591766183535715,Chrome
701,4406321641138445418,Chrome
702,8848779908893011026,Chrome
703,864781020783828460,Safari
704,9621984067111471813,Chrome
705,8331053381786685487,Chrome
706,3919922928311069127,Edge
707,353824928261014398,Chrome
708,7131884515483347930,Chrome
709,12999181578599708,Chrome
710,9440571766531944137,Chrome
711,7627963415173165857,Firefox
712,2152682812682840539,Chrome
713,411270111222520274,Chrome
714,3807798692539664317,Firefox
715,7660027454394571455,Chrome
716,4820301064492696686,Chrome
717,375978930032931406,Safari
718,3469513311351633824,Safari
719,42672269767450938,Chrome
720,4199288154389981342,Chrome
721,4978902315095278643,Internet Explorer
722,349702306970334330,Chrome
723,5990969709937654848,Chrome
724,868523353144133732,Chrome
725,2411947997757334861,Chrome
726,5530021786919399721,Opera
727,483633342115528385,Internet Explorer
728,9450484152885657401,Edge
729,6808098849105433127,Opera
730,3373075861186170759,Chrome
731,6990769695803803093,Safari
732,6548231914911694144,Chrome
733,3834233863153804560,Chrome
734,4317997182357840102,Chrome
735,959013625033164534,Chrome
736,693009421648026299,Chrome
737,6047397029348148746,Chrome
738,22861098281549351,Chrome
739,1631784144116173125,Safari
740,7981486276408975311,Chrome
741,5553109155654369952,Chrome
742,818489007614421543,Chrome
743,2279156169241979498,Safari
744,2688551637856765023,Chrome
745,351849339092469402,Chrome
746,3175624943056580876,Firefox
747,203297075422849861,Safari
748,8824334111457141004,Chrome
749,8252346099485102852,Chrome
750,3133344983418496908,Chrome
751,5762244642855318250,Chrome
752,9804798300047132250,Chrome
753,1646993596805052932,Chrome
754,3986600727460945816,Chrome
755,4575970883743914663,Chrome
756,3769460121858905891,Chrome
757,8545141595917190104,Chrome
758,5029750230642829001,Chrome
759,1911180378605301518,Chrome
760,716432102371300705,Chrome
761,290294062422824566,Safari
762,8147143777466366636,Chrome
763,5853608616657906344,Chrome
764,1896069575991805757,Firefox
765,2529619970233929392,Chrome
766,4459998833197268089,Safari
767,8999045424528441563,Chrome
768,8622108952868516218,Chrome
769,1950580349056734535,Chrome
770,1468488518472747099,Chrome
771,7583648531434853667,Chrome
772,1663673096745607489,Chrome
773,5428505752627400046,Safari
774,1929589675490746411,Safari
775,5987547816542506960,Chrome
776,2458676437363402395,Internet Explorer
777,5899564972746630426,Chrome
778,3092054219764120123,Chrome
779,6366440675526750913,Safari
780,2313811002355248632,Chrome
781,8189893716730689373,Chrome
782,1575400017401701829,Chrome
783,1090692872428093339,Chrome
784,6842665780185528695,Chrome
785,9525725362511370385,Safari
786,3024039051251507957,Chrome
787,3398280639565387989,Chrome
788,1012019381206628788,Chrome
789,825839909815099047,Chrome
790,1904270347667408298,Chrome
791,7447462975386011887,Chrome
792,6219780548490435920,Chrome
793,269480745977471072,Chrome
794,6666046965688749915,Chrome
795,852228491577199360,Safari
796,4282786944369384085,Chrome
797,1759459383277434879,Safari
798,1207409603413642693,Chrome
799,9059178657050379543,Internet Explorer
800,2100801447038183191,Chrome
801,2386189721989486755,Chrome
802,1710046532262949205,Chrome
803,2417624902688383324,Chrome
804,1833836447300507062,Chrome
805,180619161805092236,Chrome
806,5617770153245303309,Chrome
807,6331775392093763165,Chrome
808,1269400231594975169,Chrome
809,9116796221533613124,Chrome
810,5675008835829568332,Chrome
811,8738397531432035613,Chrome
812,6701092206043811865,Firefox
813,2593263242745731997,Safari
814,9983090608648451403,Chrome
815,577769199068238154,Safari
816,1755368590703577978,Chrome
817,8327911265593877173,Chrome
818,140127902283074053,Chrome
819,621834185177682740,Chrome
820,6899634437472900825,Chrome
821,3101926978579262782,Chrome
822,7689264196029938173,Chrome
823,4838755351837833042,Safari
824,915445046925936196,Safari
825,685292169375135896,Chrome
826,1653418575501878431,Chrome
827,3603434861216044891,Chrome
828,1582742923412574269,Safari
829,5490145316015267583,Chrome
830,489351798111346401,Chrome
831,4218500977857605805,Chrome
832,2856701508869470731,Chrome
833,8776445132130040346,Chrome
834,621834185177682740,Chrome
835,7999574699719991430,Chrome
836,7704239881239221980,Chrome
837,504089625248336908,Chrome
838,283524202532727668,Opera Mini
839,5513596149034997219,Internet Explorer
840,423419245303904663,Chrome
841,7609726381642269989,Chrome
842,3993323571787245265,Chrome
843,222264978971780841,Chrome
844,7973843994080964535,Safari
845,3152832580551288033,Safari
846,170965872275100961,Safari
847,6828981429164206004,Chrome
848,2681184143309917165,Chrome
849,5447210974661083662,Firefox
850,1786523749547987861,Chrome
851,3137781157647060761,Chrome
852,581671425298400170,Safari
853,6749150281619934010,Chrome
854,5808687299975986523,Chrome
855,650817556905373568,Safari
856,80372242027900542,Chrome
857,6770263479342841349,Chrome
858,1532496571521890010,Chrome
859,8279846123084753080,Chrome
860,9736476247042112255,Firefox
861,9081685417513090568,Chrome
862,448292108026961569,Chrome
863,4779015958178284086,Chrome
864,3540087738895985578,Chrome
865,876940283010756174,Chrome
866,7095594145073076322,Chrome
867,325884872478143054,Chrome
868,9805083893536695604,Chrome
869,1870317172202556909,Chrome
870,1608481938659951194,Internet Explorer
871,1053884939848173087,Chrome
872,5752187518953104311,Chrome
873,4695095457903324429,Chrome
874,3476267234195194744,Chrome
875,6454303439419387768,Chrome
876,6510831126603727833,Safari
877,4298652268246374165,Chrome
878,2003561262273243977,Chrome
879,4401091873956046790,Chrome
880,779479423145220193,Chrome
881,7750058851607930875,Chrome
882,1554158458578271193,Chrome
883,7399023593219503859,Safari
884,2023853775518236595,Firefox
885,6796911463751628913,Safari
886,6778300814189995684,Chrome
887,7367662178906517627,Chrome
888,714939603883351314,Chrome
889,8228944713969916825,Chrome
890,4726227310677161601,Chrome
891,3116414077233026486,Chrome
892,5687649636402292957,Safari
893,5227196476899761690,Safari
894,1338645132187734934,Chrome
895,3945537921878779214,Safari
896,599209473437128759,Safari
897,5124176185260958932,Chrome
898,613309682866251798,Safari
899,2896712631625577350,Chrome
900,317492853340894489,Chrome
901,3490067110445860270,Chrome
902,8195414728160220481,Chrome
903,6319434716234274314,Safari
904,7323417861544160637,Chrome
905,4966256424916249466,Chrome
906,2093060953056206282,Chrome
907,3181717647791048228,Chrome
908,6507835770641203740,Edge
909,648635975762054525,Chrome
910,8583487106788188762,Chrome
911,367312712824546381,Chrome
912,191685271979838538,Chrome
913,4695095457903324429,Chrome
914,8027770524309522307,Chrome
915,779479423145220193,Chrome
916,638361389064676510,Safari
917,62958249431997948,Chrome
918,992109768027469148,Safari
919,8480612745168684124,Chrome
920,7844248325753490068,Chrome
921,197344345223722788,Chrome
922,6380534760998824421,Chrome
923,5105154358934274155,Chrome
924,9920451223931365584,Chrome
925,5545104186482218986,Chrome
926,8204282041530668504,Safari
927,1452033971445820079,Chrome
928,6254908847172458133,Chrome
929,5116559711927840543,Chrome
930,1641614166572492339,Chrome
931,5151081508138947316,Chrome
932,6557851228804796198,Chrome
933,2681184143309917165,Chrome
934,4650836393326496041,Chrome
935,5106427032206191530,Chrome
936,2292754319090605280,Chrome
937,6012433523453216790,Chrome
938,904836487086066991,Chrome
939,6428869850476298929,Chrome
940,128992285462182220,Chrome
941,4771129686096531796,Chrome
942,7858358143368957515,Safari
943,8518926214650694091,Chrome
944,58073475447913910,Chrome
945,320434267938608431,Chrome
946,3071547747298933959,Chrome
947,9834461669617222506,Chrome
948,8762951650651505134,Chrome
949,6263697981299863262,Chrome
950,821084311930313948,Chrome
